"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
2018-06,-26290.520,,26499.571,,25233.120,,10310.170,,-12202.063,,91187.781,,-3028.484,,-8097.484,,25141.948,,20421.516,,22299.015,,10844.954,,-1266.450,,22367.671,,212.951,,5919.911,,21942.862,,113486.796,,4343.244,,28314.251,,-2716.634,,-455.669,,8948.394,,-181.730,,10111.346,
2018-07,-26905.277,,29466.426,,24841.724,,9815.938,,-24510.265,,92810.597,,-5039.932,,5831.194,,5110.724,,19501.762,,15682.549,,4125.955,,-4624.702,,-873.216,,265.878,,4852.801,,23755.067,,108493.146,,1474.089,,15833.854,,-10384.870,,-338.259,,9892.733,,-2562.966,,9685.823,
2018-08,20740.383,,29913.321,,24899.064,,10511.426,,9328.830,,86712.244,,-3808.028,,-1631.961,,20548.591,,19308.163,,16848.937,,1876.379,,-5014.258,,-8044.829,,-639.874,,5060.395,,4565.285,,103561.181,,5417.971,,18538.078,,2024.313,,-13.799,,8868.423,,-1734.763,,8796.736,
2018-09,2608.519,,27516.011,,25412.201,,10682.171,,871.168,,89342.075,,-3864.422,,-32.490,,18242.786,,19557.426,,17238.783,,1483.227,,-2103.810,,2036.114,,-118.927,,5517.184,,12112.831,,106580.858,,3894.488,,21952.722,,-2513.528,,-1196.407,,9381.606,,-3740.976,,8875.255,
2018-10,-7762.493,,29615.357,,25766.558,,10923.130,,22827.984,,97485.392,,-4572.196,,4779.253,,12269.902,,19562.124,,18069.427,,-3984.873,,-3848.800,,27181.084,,700.141,,5017.797,,-5671.367,,115554.819,,-1601.983,,20571.562,,-7378.175,,-923.485,,9589.993,,-1369.860,,8638.994,
2018-11,6972.990,,26730.099,,27438.027,,11147.369,,34477.803,,95570.811,,-5906.805,,11559.827,,13479.394,,20116.270,,16075.982,,-18576.165,,707.929,,17787.977,,-123.986,,4838.190,,-7822.651,,111646.793,,5524.393,,22024.476,,-7973.670,,-571.412,,10744.994,,-1842.991,,8968.900,
2018-12,-76205.367,,29154.856,,32102.878,,16906.428,,5155.916,,81185.499,,-7167.680,,8565.433,,31651.776,,25857.641,,9758.615,,-34222.586,,2948.022,,65245.521,,-16.503,,5658.907,,64936.675,,90944.114,,-4201.726,,22445.385,,8104.411,,1101.980,,12826.588,,7550.329,,8951.213,
2019-01,32000.726,,25874.575,,25595.525,,13591.429,,-2977.453,,93475.913,,-5197.460,,-10489.218,,12269.809,,21689.300,,14724.496,,22043.579,,-279.050,,-29457.373,,158.185,,5785.841,,-8275.793,,108200.409,,1321.291,,22839.415,,-12390.601,,1820.994,,10983.301,,4968.412,,8097.870,
2019-02,18425.903,,23806.062,,24102.235,,10419.198,,6015.627,,89401.197,,-8143.978,,5316.458,,15957.853,,20797.734,,17874.509,,-177.051,,296.174,,-10200.220,,111.547,,9421.985,,5829.708,,107275.706,,4178.022,,20445.903,,-4403.141,,-84.909,,17565.964,,-7526.514,,10378.535,
2019-03,42603.962,,26391.705,,26726.881,,13594.898,,9803.343,,93870.249,,-3804.302,,-19240.991,,15492.780,,21889.062,,24622.824,,21465.539,,335.176,,-11598.912,,-333.068,,6236.093,,-16256.111,,118493.073,,813.078,,34748.596,,-17650.058,,-1605.758,,10040.395,,-1960.716,,8294.164,
2019-04,5672.996,,26366.244,,26661.566,,10868.249,,-10029.696,,91165.485,,-3857.151,,-786.740,,19008.831,,21534.065,,17363.947,,3811.683,,295.322,,-12283.346,,547.053,,6538.198,,19076.939,,108529.432,,5602.853,,24670.368,,-5239.844,,-421.693,,10395.348,,-2632.606,,10665.815,
2019-05,24952.574,,26927.922,,27534.577,,-3047.257,,21420.493,,92039.458,,625.210,,-14133.588,,21626.957,,22440.422,,19475.013,,5893.983,,606.655,,7687.658,,182.038,,9850.672,,-7171.274,,111514.471,,1301.717,,17659.622,,4269.595,,-302.260,,9225.462,,2913.850,,25487.679,
2019-06,-23209.474,,28577.536,,26453.962,,11515.672,,-13002.002,,88297.764,,-3501.236,,6344.804,,18674.780,,21456.329,,16292.116,,6235.302,,-2123.575,,3768.710,,-285.176,,6611.482,,19637.655,,104589.880,,6089.001,,22182.978,,-2872.937,,-635.261,,10112.717,,93.958,,9940.657,
2019-07,-43594.816,,31974.043,,27739.121,,10953.656,,-8590.267,,92388.906,,-4853.505,,98.565,,9960.048,,20086.408,,20905.216,,2832.892,,-4234.923,,33677.943,,348.047,,5870.038,,13646.965,,113294.122,,1722.411,,22770.445,,-12691.765,,-118.632,,10723.543,,1228.041,,9132.751,
2019-08,10309.037,,31009.819,,26295.640,,11450.788,,10221.026,,84331.031,,-4318.930,,4225.000,,6298.175,,19804.027,,16956.423,,1928.040,,-4714.179,,-8465.096,,755.074,,5812.583,,-9532.354,,101287.454,,2926.389,,19374.101,,-13510.118,,434.192,,10131.513,,4152.085,,8353.239,
2019-09,27973.987,,29530.093,,27587.277,,11414.386,,11532.421,,92440.878,,-3687.144,,589.050,,3809.203,,19691.870,,20876.853,,-5152.343,,-1942.816,,-15718.101,,-1451.985,,6270.170,,1716.850,,113317.731,,-2835.740,,26661.280,,-21916.403,,-935.673,,9957.314,,-1312.515,,8277.484,
2019-10,-48775.004,,32851.158,,27480.659,,10884.855,,-19704.605,,96936.639,,-4858.202,,5589.314,,39177.853,,18770.968,,20841.333,,25879.711,,-5370.498,,31394.636,,-107.069,,5720.137,,31650.738,,117777.972,,1459.078,,21497.488,,18914.636,,-1234.271,,10578.339,,-7913.551,,7886.113,
2019-11,39258.981,,26114.347,,27217.656,,10767.919,,26635.294,,93051.140,,-3828.794,,4352.532,,18944.864,,18572.343,,17495.480,,4126.830,,1103.309,,-19536.358,,-355.564,,5626.265,,-12592.128,,110546.620,,1130.431,,25537.914,,-5816.450,,-776.600,,9455.060,,2560.140,,7804.424,
2019-12,-56912.876,,31724.238,,34199.240,,16187.894,,-12923.484,,82731.710,,-5321.226,,-10661.261,,19090.817,,24415.739,,12119.645,,-994.499,,2475.002,,50650.088,,-112.930,,6622.252,,36277.170,,94851.355,,-3155.440,,25461.315,,-6525.273,,154.774,,11943.478,,4000.564,,8227.845,
2020-01,8889.541,,27712.687,,27215.115,,10283.751,,4691.143,,92090.171,,-7415.733,,23029.564,,1243.885,,17205.854,,13569.473,,5354.782,,-497.572,,-29427.133,,897.999,,6090.758,,-12711.342,,105659.644,,3011.303,,15939.919,,-14019.476,,-676.558,,13506.491,,2199.170,,6922.104,
2020-02,12573.919,,25706.647,,24840.417,,7045.786,,4999.646,,87609.867,,-4353.338,,-1759.499,,14482.135,,16234.817,,20130.302,,7259.223,,-866.230,,-4953.546,,749.568,,9997.527,,-2834.430,,107740.169,,4308.127,,21956.520,,-7038.674,,-435.711,,14350.865,,-861.228,,9189.032,
2020-03,75014.980,,25070.555,,25136.309,,9813.830,,14587.134,,90665.276,,-2888.523,,-17503.346,,5574.635,,16557.719,,17802.311,,4344.051,,65.753,,-44206.523,,-1514.202,,6880.171,,-37845.052,,108467.587,,26002.704,,24793.371,,-18086.918,,-1131.818,,9768.695,,1282.023,,6743.889,
2020-04,-16724.249,,20136.203,,22018.343,,8762.661,,-25713.901,,70353.391,,-4543.436,,-14399.390,,8686.908,,15166.976,,3586.354,,-1999.748,,1882.140,,1279.357,,949.813,,6018.388,,21539.772,,73939.745,,13910.972,,9687.719,,-805.258,,-195.553,,10561.824,,4130.380,,6404.315,
2020-05,784.588,,19053.941,,20323.444,,754.079,,25159.607,,71822.772,,-3288.331,,28527.210,,-3221.505,,14925.345,,7901.286,,-6526.856,,1269.503,,-2549.119,,33.482,,8029.414,,-26418.047,,79724.058,,4530.309,,6636.537,,-9474.891,,-383.151,,11317.745,,-1603.073,,14171.266,
2020-06,75009.158,,20608.853,,23293.716,,1504.760,,10151.764,,79443.467,,-1249.713,,-19254.835,,7393.957,,14836.053,,14367.420,,-11245.407,,2684.863,,-43595.881,,-739.964,,7916.532,,-1694.003,,93810.887,,10921.567,,17307.330,,-9520.123,,-393.250,,9166.245,,-2006.678,,13331.294,
2020-07,40682.522,,25562.665,,23143.915,,5936.876,,22645.594,,80654.389,,-3851.146,,8607.171,,8341.164,,14295.233,,19964.300,,-13712.333,,-2418.749,,-27071.595,,-611.417,,6562.138,,-11865.182,,100618.689,,11884.503,,19631.280,,-9952.030,,-1338.087,,10413.284,,427.496,,8358.358,
2020-08,35737.582,,24032.465,,21791.103,,7522.288,,68104.153,,77688.943,,-3461.195,,22789.802,,31033.064,,14334.546,,13000.248,,-535.266,,-2241.362,,6539.118,,-610.911,,6107.449,,-44622.073,,90689.191,,8697.161,,14819.978,,16123.796,,89.290,,9568.644,,3037.651,,6812.258,
2020-09,10983.836,,23789.420,,23468.416,,6129.506,,50353.494,,87711.502,,-3444.453,,25048.929,,19666.970,,14195.925,,20536.934,,-5542.782,,-321.004,,6810.120,,-53.457,,7155.692,,-29442.876,,108248.436,,4352.591,,22900.983,,-1849.179,,-1384.834,,10600.145,,7510.610,,8066.419,
2020-10,-39797.752,,23615.466,,24846.187,,6434.517,,-48278.240,,90541.815,,-4458.061,,1519.383,,24386.683,,14455.011,,19857.033,,-5607.592,,1230.721,,-11405.597,,140.153,,6276.802,,76733.496,,110398.848,,1398.867,,23064.210,,3049.098,,-1726.624,,10734.863,,1405.725,,8020.494,
2020-11,10134.198,,21548.069,,24234.920,,7744.422,,-10250.328,,92898.257,,-7421.089,,-865.569,,18477.168,,14687.219,,17459.974,,5986.164,,2686.850,,-17629.622,,89.434,,6131.504,,14534.283,,110358.231,,8117.615,,20470.157,,635.964,,-2628.954,,13552.593,,-1889.334,,6942.797,
2020-12,-81118.230,,28535.543,,31694.853,,14104.178,,-30690.468,,84030.265,,-6513.908,,531.902,,32701.861,,21514.089,,14549.273,,-5137.345,,3159.310,,53471.938,,618.176,,7249.153,,71870.516,,98579.538,,-3959.018,,25298.853,,7543.169,,-140.162,,13763.062,,-3576.078,,7409.911,
2021-01,62783.050,,22416.875,,23780.913,,10585.172,,91.595,,82786.527,,-5951.325,,20702.380,,12069.434,,17451.655,,15344.056,,6829.993,,1364.038,,-89109.352,,742.980,,8335.248,,652.017,,98130.583,,3752.849,,21341.940,,-7929.155,,-1343.351,,14286.573,,5715.517,,6866.483,
2021-02,9810.353,,21338.941,,22957.426,,8534.253,,2480.499,,87653.448,,-6967.202,,13788.764,,18614.676,,17525.349,,18723.484,,6796.296,,1618.485,,-11956.151,,102.292,,8687.426,,2888.767,,106376.932,,6346.822,,21909.020,,-1732.486,,-1561.858,,15654.628,,-9162.466,,8991.096,
2021-03,7192.788,,24513.909,,26059.658,,11307.483,,18070.055,,103163.039,,-4446.203,,15163.060,,36221.667,,18839.432,,23936.918,,22136.304,,1545.749,,-4998.913,,-460.324,,9997.761,,-10848.018,,127099.957,,7323.651,,32343.947,,2885.093,,992.627,,14443.964,,713.120,,7531.949,
2021-04,-14497.541,,23109.585,,26441.758,,7404.864,,-4825.246,,94292.557,,-3710.825,,206.979,,24168.606,,18503.564,,17110.151,,4836.353,,3332.173,,9845.071,,-251.242,,8191.102,,19046.525,,111402.708,,5362.216,,24136.363,,922.548,,-890.305,,11901.927,,-379.755,,11098.699,
2021-05,35264.748,,23092.644,,25391.327,,2095.896,,3917.119,,95438.102,,-1904.353,,2308.688,,14809.863,,19359.086,,14968.606,,2766.244,,2298.683,,-32081.400,,211.406,,10069.242,,5118.486,,110406.708,,2796.607,,17458.832,,-2133.302,,-515.667,,11973.594,,-1574.917,,17263.190,
2021-06,-26893.364,,27945.739,,28907.826,,7471.178,,-6403.697,,99854.501,,-3115.611,,9059.614,,33794.864,,19421.766,,17544.615,,4115.453,,962.087,,11381.517,,98.300,,7984.608,,34366.085,,117399.116,,1618.723,,22862.269,,11901.968,,-969.372,,11100.219,,48.537,,11950.588,
2021-07,-60686.312,,30919.386,,28887.999,,9513.131,,-45774.879,,95531.493,,-5877.230,,-11525.328,,436.435,,19249.302,,18506.288,,8175.044,,-2031.387,,26148.217,,102.072,,7525.131,,35100.118,,114037.781,,2834.080,,20110.801,,-19234.052,,-440.314,,13402.362,,288.544,,9736.172,
2021-08,-30413.433,,31423.669,,28146.546,,11615.457,,-12324.917,,90834.312,,-4642.660,,17823.099,,16680.466,,19916.108,,13350.423,,4759.946,,-3277.123,,-3199.286,,31254.462,,7388.582,,-10089.797,,104184.735,,3080.771,,17046.096,,-901.571,,535.940,,12031.243,,3464.704,,8300.651,
2021-09,31093.480,,32290.323,,30989.455,,12190.948,,-37666.121,,100748.230,,-4953.792,,-12720.122,,-759.041,,20663.777,,18163.858,,4518.292,,-1300.868,,-51795.721,,-157.803,,8203.595,,28339.958,,118912.088,,4206.633,,24100.146,,-26837.323,,1978.135,,13157.387,,-4243.757,,8472.830,
2021-10,-36996.690,,36474.579,,31526.875,,11733.302,,-17344.269,,106309.273,,-5470.670,,-4515.861,,13458.457,,20240.752,,15218.830,,5343.016,,-4947.704,,22357.988,,260.954,,7420.968,,18772.178,,121528.103,,6426.578,,16533.758,,-3629.693,,554.392,,12891.637,,1810.294,,8507.450,
2021-11,22572.376,,31665.033,,31564.722,,12140.579,,-29757.380,,112915.949,,-5996.624,,-18640.466,,23859.389,,20716.301,,14469.282,,18235.311,,-100.311,,-29348.150,,963.400,,7473.314,,26882.526,,127385.231,,7535.532,,20512.927,,4503.614,,-1157.152,,13469.938,,-4341.140,,8575.722,
2021-12,-102631.621,,38741.546,,40892.318,,18588.555,,-19942.815,,109093.482,,-4795.678,,-25566.052,,15623.394,,28604.563,,9154.345,,-7018.659,,2150.772,,104373.509,,-974.127,,8731.624,,46963.805,,118247.827,,-3404.811,,25097.994,,-9698.945,,224.344,,13527.302,,3881.349,,10016.008,
2022-01,89449.320,,31189.045,,31940.773,,13108.801,,17656.256,,103615.051,,-5626.731,,20876.239,,27312.157,,21928.178,,7407.866,,-1013.450,,751.728,,-98487.025,,308.723,,7587.283,,-397.343,,111022.917,,10757.971,,15641.664,,12777.449,,-1106.957,,13214.014,,5817.721,,8819.377,
2022-02,33568.330,,29185.726,,30284.498,,10567.686,,23067.733,,108126.860,,-5524.513,,22974.020,,46823.882,,21712.221,,16318.123,,14092.468,,1098.772,,-26254.559,,1161.477,,7986.213,,3623.882,,124444.983,,4878.321,,22460.068,,25992.446,,-1628.632,,13510.726,,-7220.057,,11144.535,
2022-03,-13496.069,,34247.277,,32803.267,,13389.626,,5777.421,,125316.063,,-5241.081,,25327.519,,-2082.512,,23465.427,,13680.181,,-6426.394,,-1444.010,,-1454.308,,729.844,,8218.430,,-6384.336,,138996.244,,4220.954,,20384.716,,-21740.938,,-726.290,,13459.511,,-4599.722,,10075.801,
2022-04,-16211.883,,32517.661,,31134.564,,11441.848,,-23634.503,,116139.596,,-5378.420,,3615.055,,19026.037,,23525.607,,6514.059,,23024.901,,-1383.097,,-9148.906,,82.907,,8234.568,,11859.398,,122653.655,,7693.333,,11194.390,,9382.646,,-1551.000,,13612.988,,-1888.769,,12083.760,
2022-05,9154.570,,34909.825,,32656.293,,-3088.764,,-21209.274,,124338.995,,-1367.741,,-7921.183,,1841.791,,25021.785,,11166.804,,16885.495,,-2253.532,,-18523.228,,160.843,,12461.766,,3677.493,,135505.799,,2327.234,,4456.767,,18.888,,-2633.863,,13829.507,,-3919.433,,28110.549,
2022-06,38385.238,,38053.530,,34915.032,,9372.591,,31903.746,,123753.366,,-6439.124,,-4000.337,,39549.034,,25168.512,,11992.566,,11086.237,,-3138.498,,2111.925,,353.442,,8424.525,,-5778.164,,135745.932,,1983.772,,11787.534,,28270.198,,-508.699,,14863.649,,-4593.079,,15795.922,
2022-07,-36583.273,,40277.061,,34124.025,,11982.291,,-45780.907,,121023.527,,-6837.413,,-16135.663,,-21412.932,,24651.975,,9085.170,,15911.961,,-6153.036,,6506.551,,-484.134,,7672.572,,3755.056,,130108.697,,5185.092,,8077.012,,-26309.533,,-3180.411,,14509.985,,431.478,,12669.684,
2022-08,47189.651,,42942.081,,33187.272,,13728.373,,37048.481,,127608.304,,-5883.355,,-10020.994,,23389.875,,26371.940,,3250.948,,10979.334,,-9754.810,,1956.144,,81.260,,7778.943,,-25858.047,,130859.252,,1138.847,,1341.156,,23282.822,,-1234.102,,13662.297,,-2076.320,,12643.567,
2022-09,36955.913,,42553.159,,35756.004,,12985.709,,-15710.902,,132541.355,,-4492.644,,-8074.097,,-21822.432,,27702.419,,11299.207,,-1164.207,,-6797.155,,-34550.051,,1187.246,,8548.167,,-11622.618,,143840.562,,5488.049,,12995.117,,-32540.038,,-2277.511,,13040.811,,-10042.666,,14716.711,
2022-10,-19960.452,,40103.468,,34302.831,,13094.174,,-922.849,,128285.592,,-5459.760,,19978.633,,41712.598,,27261.037,,7014.253,,13436.314,,-5800.637,,-4060.434,,671.638,,8135.772,,23668.548,,135299.845,,4858.947,,8848.029,,35199.809,,-2335.240,,13595.533,,3119.403,,14166.864,
2022-11,3913.701,,37231.001,,34947.222,,13933.332,,28579.473,,129943.823,,-6081.370,,3145.449,,-4927.490,,29161.277,,15339.179,,-12938.959,,-2283.779,,20546.761,,425.022,,8213.640,,-23321.188,,145283.002,,2328.162,,20907.362,,-23405.635,,-2429.217,,14295.010,,973.562,,15227.945,
2022-12,-67481.341,,43250.088,,43119.347,,21578.017,,-7428.820,,113389.647,,-7758.714,,-12375.373,,48779.752,,37885.504,,12847.470,,28292.781,,-130.741,,67826.311,,-252.114,,9173.661,,37509.736,,126237.117,,-9341.831,,26536.032,,24276.110,,-2032.390,,16932.376,,4601.584,,16307.487,
2023-01,11191.404,,35214.596,,33101.299,,12998.562,,-28838.618,,112997.240,,-5458.400,,20011.437,,-3050.081,,29973.041,,11656.202,,-5674.905,,-2113.296,,-68383.098,,-341.406,,7978.639,,24161.470,,124653.442,,7643.378,,17083.067,,-13850.081,,-6283.067,,13437.039,,8341.639,,16974.479,
2023-02,5263.786,,34428.295,,31073.528,,11024.979,,-9722.160,,111872.833,,-5415.061,,-8131.066,,29865.930,,30061.587,,18581.030,,16492.100,,-3354.767,,-5630.350,,142.673,,8484.408,,16707.075,,130453.863,,6246.242,,20836.182,,10014.127,,-984.379,,13899.468,,-1224.530,,19036.608,
2023-03,5254.601,,38766.965,,34188.996,,14167.563,,51703.055,,120518.904,,-8863.753,,13494.994,,55459.869,,31719.265,,25066.243,,20588.845,,-4577.969,,31413.262,,422.915,,10427.319,,-19955.222,,145585.147,,2700.276,,25792.083,,35418.452,,-5750.666,,19291.072,,1540.198,,17551.702,
2023-04,-24186.832,,35406.311,,31351.808,,12006.049,,-42571.076,,105550.769,,-5075.921,,-4876.654,,-31650.272,,32237.692,,15715.086,,-13750.668,,-4054.503,,-10502.321,,88.376,,8847.588,,19563.469,,121265.855,,5019.627,,18590.710,,-49765.262,,-475.720,,13923.509,,-3005.268,,20231.643,
2023-05,25542.524,,38743.078,,32123.770,,-3921.832,,26586.950,,113473.063,,-379.733,,5190.100,,5547.027,,32931.091,,15721.221,,-9949.955,,-6619.308,,-2072.674,,45.194,,13033.828,,-20395.074,,129194.284,,9259.912,,4800.348,,3101.309,,-2354.630,,13413.561,,-2073.000,,36852.924,
2023-06,-26248.404,,42029.996,,35141.804,,10257.986,,27920.098,,114291.873,,-4618.902,,28155.812,,57218.596,,33294.895,,23055.929,,19351.571,,-6888.192,,23397.344,,962.340,,8998.208,,12258.041,,137347.802,,-3273.454,,21806.821,,36639.737,,-1227.963,,13617.111,,2615.345,,23036.909,
2023-07,10480.988,,40598.276,,32841.404,,11961.030,,21075.684,,105436.118,,-5898.881,,12255.402,,2480.742,,31944.992,,20174.189,,3972.645,,-7756.873,,-122.342,,-117.765,,8157.699,,-21211.579,,125610.307,,-1238.242,,18479.465,,-11163.045,,-4835.678,,14056.580,,-1538.365,,19983.962,
2023-08,8009.296,,41423.879,,31516.252,,15478.840,,17221.199,,103073.594,,-4990.559,,-19378.140,,20016.845,,35085.545,,20215.849,,-3416.434,,-9907.627,,30485.772,,-106.506,,7953.303,,-6051.245,,123289.443,,12369.831,,20796.502,,-181.368,,-598.289,,12943.862,,-1895.729,,19606.705,
2023-09,-36070.255,,40208.074,,34500.259,,13758.612,,22848.192,,107232.333,,-4503.086,,36136.556,,4943.845,,33989.760,,22683.687,,4141.018,,-5707.815,,25695.587,,-566.141,,9070.879,,-23061.913,,129916.020,,1582.688,,26231.398,,-22747.784,,1460.231,,13573.965,,-2913.695,,20231.148,
2023-10,35020.455,,43997.445,,34539.220,,12509.005,,3741.101,,109457.123,,-6549.880,,-5979.596,,22215.061,,32928.691,,12501.516,,4884.613,,-9458.225,,-22256.706,,858.109,,7939.569,,7597.097,,121958.639,,5134.141,,9002.415,,17293.324,,-4080.678,,14489.449,,-3043.052,,20419.686,
2023-11,-1224.046,,37195.890,,34369.971,,13542.883,,21502.971,,114500.742,,-6599.512,,2249.584,,34405.082,,34124.040,,23955.943,,20453.439,,-2825.919,,20507.507,,65.404,,8022.336,,-6013.498,,138456.685,,-1603.234,,28073.396,,10828.190,,-4496.503,,14621.848,,-30.074,,20581.157,
2023-12,-47123.561,,41911.918,,42182.789,,20116.970,,19412.787,,94004.631,,-6262.455,,-18935.904,,35134.506,,41654.359,,17494.128,,2611.754,,270.870,,74899.777,,-568.800,,10083.650,,17553.512,,111498.759,,-3874.747,,31619.514,,1139.825,,2375.167,,16346.105,,10572.474,,21537.389,
2024-01,52250.450,,35500.039,,31399.969,,12491.498,,8385.379,,103761.072,,-4344.508,,-15862.440,,2973.878,,34186.251,,25653.412,,-201.461,,-4100.071,,-28163.063,,-249.333,,8311.572,,-2048.564,,129414.484,,-2912.142,,29700.332,,-21172.093,,-5554.361,,12656.080,,160.431,,21694.753,
